Catalogue Code,Reference Number,URL
bkat,1642,https://db.innovatingknowledge.nl/#detail/M0130
bkat,1676,https://db.innovatingknowledge.nl/#detail/M0131
bkat,1719,https://db.innovatingknowledge.nl/#detail/M0132
bkat,1736,https://db.innovatingknowledge.nl/#detail/M0133
cla,1225,https://db.innovatingknowledge.nl/#detail/M0134
bkat,1525,https://db.innovatingknowledge.nl/#detail/M0134
cla,1132,https://db.innovatingknowledge.nl/#detail/M0135
bkat,1796,https://db.innovatingknowledge.nl/#detail/M0135
bkat,2091,https://db.innovatingknowledge.nl/#detail/M0137
bkat,2114,https://db.innovatingknowledge.nl/#detail/M0138
bkat,2124,https://db.innovatingknowledge.nl/#detail/M0139
bkat,2128,https://db.innovatingknowledge.nl/#detail/M0140
cla,1576,https://db.innovatingknowledge.nl/#detail/M0141
bkat,2150,https://db.innovatingknowledge.nl/#detail/M0141
bkat,2151,https://db.innovatingknowledge.nl/#detail/M0142
bkat,2182,https://db.innovatingknowledge.nl/#detail/M0143
bkat,2187,https://db.innovatingknowledge.nl/#detail/M0144
bkat,2200,https://db.innovatingknowledge.nl/#detail/M0145
bkat,2201,https://db.innovatingknowledge.nl/#detail/M0146
cla,1581,https://db.innovatingknowledge.nl/#detail/M0147
bkat,2203,https://db.innovatingknowledge.nl/#detail/M0147
cla,1585,https://db.innovatingknowledge.nl/#detail/M0148
bkat,2222,https://db.innovatingknowledge.nl/#detail/M0148
bkat,6666,https://db.innovatingknowledge.nl/#detail/M0149
bkat,2239,https://db.innovatingknowledge.nl/#detail/M0150
bkat,2248,https://db.innovatingknowledge.nl/#detail/M0152
bkat,2252,https://db.innovatingknowledge.nl/#detail/M0154
cla,768,https://db.innovatingknowledge.nl/#detail/M0155
bkat,2338,https://db.innovatingknowledge.nl/#detail/M0155
bkat,2270,https://db.innovatingknowledge.nl/#detail/M0156
bkat,2271,https://db.innovatingknowledge.nl/#detail/M0157
bkat,2382,https://db.innovatingknowledge.nl/#detail/M0161
bkat,2391,https://db.innovatingknowledge.nl/#detail/M0162
bkat,2399,https://db.innovatingknowledge.nl/#detail/M0163
bkat,2400,https://db.innovatingknowledge.nl/#detail/M0164
cla,183,https://db.innovatingknowledge.nl/#detail/M0166
bkat,2417a,https://db.innovatingknowledge.nl/#detail/M0166
bkat,2432,https://db.innovatingknowledge.nl/#detail/M0167
bkat,2447,https://db.innovatingknowledge.nl/#detail/M0168
bkat,2450,https://db.innovatingknowledge.nl/#detail/M0169
bkat,2466,https://db.innovatingknowledge.nl/#detail/M0170
bkat,2472,https://db.innovatingknowledge.nl/#detail/M0171
bkat,2481,https://db.innovatingknowledge.nl/#detail/M0172
bkat,2483,https://db.innovatingknowledge.nl/#detail/M0173
cla,1873,https://db.innovatingknowledge.nl/#detail/M0175
cla,303b,https://db.innovatingknowledge.nl/#detail/M0177
bkat,2524,https://db.innovatingknowledge.nl/#detail/M0177
cla,1638,https://db.innovatingknowledge.nl/#detail/M0178
bkat,2771,https://db.innovatingknowledge.nl/#detail/M0181
bkat,2595,https://db.innovatingknowledge.nl/#detail/M0183
bkat,2621,https://db.innovatingknowledge.nl/#detail/M0184
cla,353,https://db.innovatingknowledge.nl/#detail/M0187
bkat,2655,https://db.innovatingknowledge.nl/#detail/M0188
cla,370,https://db.innovatingknowledge.nl/#detail/M0190
bkat,2796b,https://db.innovatingknowledge.nl/#detail/M0190
bkat,2804,https://db.innovatingknowledge.nl/#detail/M0191
bkat,2805,https://db.innovatingknowledge.nl/#detail/M0192
bkat,2810,https://db.innovatingknowledge.nl/#detail/M0195
bkat,2821,https://db.innovatingknowledge.nl/#detail/M0197
bkat,2841,https://db.innovatingknowledge.nl/#detail/M0198
bkat,2964,https://db.innovatingknowledge.nl/#detail/M0201
bkat,2987,https://db.innovatingknowledge.nl/#detail/M0202
bkat,3000,https://db.innovatingknowledge.nl/#detail/M0204
bkat,3006,https://db.innovatingknowledge.nl/#detail/M0206
bkat,3024,https://db.innovatingknowledge.nl/#detail/M0207
bkat,3027,https://db.innovatingknowledge.nl/#detail/M0208
bkat,3048,https://db.innovatingknowledge.nl/#detail/M0210
bkat,3059,https://db.innovatingknowledge.nl/#detail/M0211
bkat,3078,https://db.innovatingknowledge.nl/#detail/M0214
bkat,3202,https://db.innovatingknowledge.nl/#detail/M0215
bkat,3219,https://db.innovatingknowledge.nl/#detail/M0216
bkat,3223,https://db.innovatingknowledge.nl/#detail/M0217
bkat,3228,https://db.innovatingknowledge.nl/#detail/M0218
bkat,3230,https://db.innovatingknowledge.nl/#detail/M0219
bkat,3258,https://db.innovatingknowledge.nl/#detail/M0220
bkat,3260,https://db.innovatingknowledge.nl/#detail/M0221
bkat,3262,https://db.innovatingknowledge.nl/#detail/M0222
bkat,3303,https://db.innovatingknowledge.nl/#detail/M0224
cla,1332,https://db.innovatingknowledge.nl/#detail/M0225
bkat,3461,https://db.innovatingknowledge.nl/#detail/M0226
bkat,3603,https://db.innovatingknowledge.nl/#detail/M0227
bkat,3627,https://db.innovatingknowledge.nl/#detail/M0228
bkat,3738,https://db.innovatingknowledge.nl/#detail/M0229
bkat,3778,https://db.innovatingknowledge.nl/#detail/M0231
bkat,3806,https://db.innovatingknowledge.nl/#detail/M0232
bkat,3816,https://db.innovatingknowledge.nl/#detail/M0233
bkat,"III, p. 3",https://db.innovatingknowledge.nl/#detail/M0235
bkat,3904,https://db.innovatingknowledge.nl/#detail/M0236
bkat,"III, p. 28",https://db.innovatingknowledge.nl/#detail/M0237
bkat,4000,https://db.innovatingknowledge.nl/#detail/M0238
bkat,4007,https://db.innovatingknowledge.nl/#detail/M0239
bkat,4013,https://db.innovatingknowledge.nl/#detail/M0240
bkat,4014,https://db.innovatingknowledge.nl/#detail/M0241
bkat,4614,https://db.innovatingknowledge.nl/#detail/M0242
cla,1854,https://db.innovatingknowledge.nl/#detail/M0243
bkat,4059,https://db.innovatingknowledge.nl/#detail/M0244
bkat,4061,https://db.innovatingknowledge.nl/#detail/M0245
bkat,4119,https://db.innovatingknowledge.nl/#detail/M0246
bkat,4134,https://db.innovatingknowledge.nl/#detail/M0247
bkat,4142,https://db.innovatingknowledge.nl/#detail/M0248
bkat,4232,https://db.innovatingknowledge.nl/#detail/M0250
bkat,4262,https://db.innovatingknowledge.nl/#detail/M0251
bkat,"III, p. 89",https://db.innovatingknowledge.nl/#detail/M0253
bkat,4279,https://db.innovatingknowledge.nl/#detail/M0254
bkat,4281,https://db.innovatingknowledge.nl/#detail/M0256
bkat,4282,https://db.innovatingknowledge.nl/#detail/M0257
cla,555,https://db.innovatingknowledge.nl/#detail/M0258
bkat,4287,https://db.innovatingknowledge.nl/#detail/M0258
bkat,4297,https://db.innovatingknowledge.nl/#detail/M0259
bkat,4299,https://db.innovatingknowledge.nl/#detail/M0260
cla,556,https://db.innovatingknowledge.nl/#detail/M0261
bkat,4302a,https://db.innovatingknowledge.nl/#detail/M0261
bkat,4308,https://db.innovatingknowledge.nl/#detail/M0262
bkat,4309,https://db.innovatingknowledge.nl/#detail/M0263
bkat,4314,https://db.innovatingknowledge.nl/#detail/M0264
bkat,4315,https://db.innovatingknowledge.nl/#detail/M0265
bkat,"III, p. 98",https://db.innovatingknowledge.nl/#detail/M0266
bkat,"III, p. 99",https://db.innovatingknowledge.nl/#detail/M0268
bkat,4321,https://db.innovatingknowledge.nl/#detail/M0269
cla,559,https://db.innovatingknowledge.nl/#detail/M0272
bkat,"III, p. 105",https://db.innovatingknowledge.nl/#detail/M0273
bkat,4367,https://db.innovatingknowledge.nl/#detail/M0275
bkat,4419,https://db.innovatingknowledge.nl/#detail/M0276
bkat,4441,https://db.innovatingknowledge.nl/#detail/M0277
bkat,4443,https://db.innovatingknowledge.nl/#detail/M0278
cla,569,https://db.innovatingknowledge.nl/#detail/M0279
bkat,4474,https://db.innovatingknowledge.nl/#detail/M0280
bkat,4483,https://db.innovatingknowledge.nl/#detail/M0281
bkat,4484,https://db.innovatingknowledge.nl/#detail/M0282
bkat,4485,https://db.innovatingknowledge.nl/#detail/M0283
bkat,4486,https://db.innovatingknowledge.nl/#detail/M0284
bkat,4487,https://db.innovatingknowledge.nl/#detail/M0285
bkat,4493,https://db.innovatingknowledge.nl/#detail/M0286
bkat,4494,https://db.innovatingknowledge.nl/#detail/M0287
bkat,4498,https://db.innovatingknowledge.nl/#detail/M0288
bkat,4562,https://db.innovatingknowledge.nl/#detail/M0289
bkat,4565,https://db.innovatingknowledge.nl/#detail/M0290
cla,576,https://db.innovatingknowledge.nl/#detail/M0291
bkat,4572,https://db.innovatingknowledge.nl/#detail/M0291
bkat,4616,https://db.innovatingknowledge.nl/#detail/M0292
bkat,4624,https://db.innovatingknowledge.nl/#detail/M0293
bkat,4625,https://db.innovatingknowledge.nl/#detail/M0294
bkat,4626,https://db.innovatingknowledge.nl/#detail/M0295
bkat,4638,https://db.innovatingknowledge.nl/#detail/M0296
cla,601,https://db.innovatingknowledge.nl/#detail/M0297
bkat,4647,https://db.innovatingknowledge.nl/#detail/M0297
bkat,4653,https://db.innovatingknowledge.nl/#detail/M0298
bkat,4659,https://db.innovatingknowledge.nl/#detail/M0299
bkat,4669,https://db.innovatingknowledge.nl/#detail/M0300
bkat,4670,https://db.innovatingknowledge.nl/#detail/M0301
bkat,4675,https://db.innovatingknowledge.nl/#detail/M0302
bkat,4689,https://db.innovatingknowledge.nl/#detail/M0303
bkat,4833,https://db.innovatingknowledge.nl/#detail/M0304
bkat,4834,https://db.innovatingknowledge.nl/#detail/M0305
bkat,"III, p. 201",https://db.innovatingknowledge.nl/#detail/M0306
bkat,4861,https://db.innovatingknowledge.nl/#detail/M0307
bkat,4865,https://db.innovatingknowledge.nl/#detail/M0308
cla,647,https://db.innovatingknowledge.nl/#detail/M0309
bkat,4865a,https://db.innovatingknowledge.nl/#detail/M0309
bkat,4902,https://db.innovatingknowledge.nl/#detail/M0310
bkat,4954,https://db.innovatingknowledge.nl/#detail/M0311
bkat,4958,https://db.innovatingknowledge.nl/#detail/M0312
bkat,4961,https://db.innovatingknowledge.nl/#detail/M0313
bkat,5034,https://db.innovatingknowledge.nl/#detail/M0316
bkat,5042,https://db.innovatingknowledge.nl/#detail/M0317
bkat,5073,https://db.innovatingknowledge.nl/#detail/M0318
bkat,5101,https://db.innovatingknowledge.nl/#detail/M0319
bkat,5157,https://db.innovatingknowledge.nl/#detail/M0320
bkat,5295,https://db.innovatingknowledge.nl/#detail/M0322
bkat,5296,https://db.innovatingknowledge.nl/#detail/M0323
bkat,5344,https://db.innovatingknowledge.nl/#detail/M0326
bkat,5377,https://db.innovatingknowledge.nl/#detail/M0327
bkat,5367,https://db.innovatingknowledge.nl/#detail/M0328
cla,1465,https://db.innovatingknowledge.nl/#detail/M0330
bkat,5449,https://db.innovatingknowledge.nl/#detail/M0331
bkat,5475,https://db.innovatingknowledge.nl/#detail/M0331
cla,907,https://db.innovatingknowledge.nl/#detail/M0333
bkat,5569,https://db.innovatingknowledge.nl/#detail/M0333
bkat,5583,https://db.innovatingknowledge.nl/#detail/M0334
bkat,5641,https://db.innovatingknowledge.nl/#detail/M0335
cla,928,https://db.innovatingknowledge.nl/#detail/M0337
bkat,5666a,https://db.innovatingknowledge.nl/#detail/M0337
cla,933,https://db.innovatingknowledge.nl/#detail/M0338
bkat,5669,https://db.innovatingknowledge.nl/#detail/M0338
bkat,5670,https://db.innovatingknowledge.nl/#detail/M0339
bkat,5671,https://db.innovatingknowledge.nl/#detail/M0340
bkat,5672,https://db.innovatingknowledge.nl/#detail/M0341
bkat,5673,https://db.innovatingknowledge.nl/#detail/M0342
bkat,5675,https://db.innovatingknowledge.nl/#detail/M0343
cla,934,https://db.innovatingknowledge.nl/#detail/M0344
bkat,5689,https://db.innovatingknowledge.nl/#detail/M0345
bkat,5751,https://db.innovatingknowledge.nl/#detail/M0346
bkat,5757,https://db.innovatingknowledge.nl/#detail/M0347
bkat,5840,https://db.innovatingknowledge.nl/#detail/M0348
bkat,"III, p. 332",https://db.innovatingknowledge.nl/#detail/M0349
bkat,5850,https://db.innovatingknowledge.nl/#detail/M0350
bkat,5858,https://db.innovatingknowledge.nl/#detail/M0351
bkat,5859,https://db.innovatingknowledge.nl/#detail/M0352
bkat,5862,https://db.innovatingknowledge.nl/#detail/M0353
bkat,5863,https://db.innovatingknowledge.nl/#detail/M0354
bkat,5864,https://db.innovatingknowledge.nl/#detail/M0355
cla,976,https://db.innovatingknowledge.nl/#detail/M0356
cla,983,https://db.innovatingknowledge.nl/#detail/M0357
bkat,5883,https://db.innovatingknowledge.nl/#detail/M0357
cla,995,https://db.innovatingknowledge.nl/#detail/M0358
bkat,2302,https://db.innovatingknowledge.nl/#detail/M0359
bkat,5959,https://db.innovatingknowledge.nl/#detail/M0360
bkat,5972,https://db.innovatingknowledge.nl/#detail/M0362
bkat,6000,https://db.innovatingknowledge.nl/#detail/M0363
bkat,6026,https://db.innovatingknowledge.nl/#detail/M0364
bkat,6023,https://db.innovatingknowledge.nl/#detail/M0365
bkat,6095,https://db.innovatingknowledge.nl/#detail/M0366
bkat,6143,https://db.innovatingknowledge.nl/#detail/M0368
bkat,6155,https://db.innovatingknowledge.nl/#detail/M0369
bkat,6372,https://db.innovatingknowledge.nl/#detail/M0373
bkat,6380,https://db.innovatingknowledge.nl/#detail/M0374
bkat,6391,https://db.innovatingknowledge.nl/#detail/M0375
bkat,6392,https://db.innovatingknowledge.nl/#detail/M0376
bkat,6418,https://db.innovatingknowledge.nl/#detail/M0377
bkat,6518,https://db.innovatingknowledge.nl/#detail/M0380
bkat,6531,https://db.innovatingknowledge.nl/#detail/M0381
bkat,6575,https://db.innovatingknowledge.nl/#detail/M0383
bkat,6579,https://db.innovatingknowledge.nl/#detail/M0384
bkat,6582,https://db.innovatingknowledge.nl/#detail/M0385
bkat,6591,https://db.innovatingknowledge.nl/#detail/M0386
cla,1775,https://db.innovatingknowledge.nl/#detail/M0387
bkat,6592,https://db.innovatingknowledge.nl/#detail/M0387
bkat,6612,https://db.innovatingknowledge.nl/#detail/M0388
bkat,6625,https://db.innovatingknowledge.nl/#detail/M0389
bkat,6654,https://db.innovatingknowledge.nl/#detail/M0390
bkat,6657,https://db.innovatingknowledge.nl/#detail/M0391
bkat,6674,https://db.innovatingknowledge.nl/#detail/M0392
bkat,6737,https://db.innovatingknowledge.nl/#detail/M0393
bkat,6738,https://db.innovatingknowledge.nl/#detail/M0394
bkat,6754,https://db.innovatingknowledge.nl/#detail/M0395
bkat,6761,https://db.innovatingknowledge.nl/#detail/M0396
bkat,6762,https://db.innovatingknowledge.nl/#detail/M0397
bkat,6767,https://db.innovatingknowledge.nl/#detail/M0398
bkat,6783,https://db.innovatingknowledge.nl/#detail/M0399
bkat,6784,https://db.innovatingknowledge.nl/#detail/M0400
bkat,6786,https://db.innovatingknowledge.nl/#detail/M0401
bkat,6787,https://db.innovatingknowledge.nl/#detail/M0402
bkat,6802,https://db.innovatingknowledge.nl/#detail/M0403
bkat,6854,https://db.innovatingknowledge.nl/#detail/M0406
bkat,6867,https://db.innovatingknowledge.nl/#detail/M0408
cla,15,https://db.innovatingknowledge.nl/#detail/M0409
bkat,6874a,https://db.innovatingknowledge.nl/#detail/M0409
bkat,6886,https://db.innovatingknowledge.nl/#detail/M0410
cla,39,https://db.innovatingknowledge.nl/#detail/M0411
bkat,6922,https://db.innovatingknowledge.nl/#detail/M0412
bkat,6928,https://db.innovatingknowledge.nl/#detail/M0413
bkat,6938,https://db.innovatingknowledge.nl/#detail/M0414
bkat,"III, p. 461",https://db.innovatingknowledge.nl/#detail/M0415
bkat,6994,https://db.innovatingknowledge.nl/#detail/M0416
bkat,6999,https://db.innovatingknowledge.nl/#detail/M0417
bkat,7001,https://db.innovatingknowledge.nl/#detail/M0419
bkat,7018,https://db.innovatingknowledge.nl/#detail/M0420
bkat,7119,https://db.innovatingknowledge.nl/#detail/M0422
bkat,7206,https://db.innovatingknowledge.nl/#detail/M0424
bkat,7223,https://db.innovatingknowledge.nl/#detail/M0425
bkat,7082,https://db.innovatingknowledge.nl/#detail/M0426
bkat,7275,https://db.innovatingknowledge.nl/#detail/M0427
bkat,7314,https://db.innovatingknowledge.nl/#detail/M0429
cla,1380,https://db.innovatingknowledge.nl/#detail/M0431
bkat,7333,https://db.innovatingknowledge.nl/#detail/M0431
bkat,7337,https://db.innovatingknowledge.nl/#detail/M0432
bkat,7353,https://db.innovatingknowledge.nl/#detail/M0433
cla,1386,https://db.innovatingknowledge.nl/#detail/M0434
bkat,7414,https://db.innovatingknowledge.nl/#detail/M0435
bkat,7474,https://db.innovatingknowledge.nl/#detail/M0436
bkat,7511,https://db.innovatingknowledge.nl/#detail/M0437
bkat,7546,https://db.innovatingknowledge.nl/#detail/M0438
bkat,7584,https://db.innovatingknowledge.nl/#detail/M0439
bkat,7591,https://db.innovatingknowledge.nl/#detail/M0440
bkat,"III, p. 542",https://db.innovatingknowledge.nl/#detail/M0441
bkat,5741,https://db.innovatingknowledge.nl/#detail/M0443
bkat,3859,https://db.innovatingknowledge.nl/#detail/M0446
bkat,5501,https://db.innovatingknowledge.nl/#detail/M0447
bkat,326,https://db.innovatingknowledge.nl/#detail/M0449
bkat,574,https://db.innovatingknowledge.nl/#detail/M0450
bkat,579,https://db.innovatingknowledge.nl/#detail/M0451
bkat,1853,https://db.innovatingknowledge.nl/#detail/M0452
bkat,3573,https://db.innovatingknowledge.nl/#detail/M0456
bkat,4214,https://db.innovatingknowledge.nl/#detail/M0457
bkat,4463,https://db.innovatingknowledge.nl/#detail/M0458
bkat,2217,https://db.innovatingknowledge.nl/#detail/M0459
bkat,4948,https://db.innovatingknowledge.nl/#detail/M0461
bkat,3575,https://db.innovatingknowledge.nl/#detail/M0462
bkat,5314,https://db.innovatingknowledge.nl/#detail/M0464
bkat,2863,https://db.innovatingknowledge.nl/#detail/M0466
bkat,2890,https://db.innovatingknowledge.nl/#detail/M0467
bkat,2868,https://db.innovatingknowledge.nl/#detail/M0468
bkat,2739,https://db.innovatingknowledge.nl/#detail/M0472
bkat,2857,https://db.innovatingknowledge.nl/#detail/M0473
cla,1541,https://db.innovatingknowledge.nl/#detail/M0476
bkat,3798,https://db.innovatingknowledge.nl/#detail/M0477
bkat,6775,https://db.innovatingknowledge.nl/#detail/M0478
bkat,6795,https://db.innovatingknowledge.nl/#detail/M0479
bkat,"III, p. 443",https://db.innovatingknowledge.nl/#detail/M0481
bkat,2852,https://db.innovatingknowledge.nl/#detail/M0482
bkat,23,https://db.innovatingknowledge.nl/#detail/M0483
bkat,752,https://db.innovatingknowledge.nl/#detail/M0484
cla,139,https://db.innovatingknowledge.nl/#detail/M0485
bkat,845a,https://db.innovatingknowledge.nl/#detail/M0485
bkat,4353,https://db.innovatingknowledge.nl/#detail/M0486
bkat,4354,https://db.innovatingknowledge.nl/#detail/M0487
bkat,5834,https://db.innovatingknowledge.nl/#detail/M0488
bkat,"III, p. 282",https://db.innovatingknowledge.nl/#detail/M0491
bkat,4342,https://db.innovatingknowledge.nl/#detail/M0497
bkat,4837,https://db.innovatingknowledge.nl/#detail/M0503
cla,1501,https://db.innovatingknowledge.nl/#detail/M0506
bkat,"III, p. 490",https://db.innovatingknowledge.nl/#detail/M0506
bkat,"III, p. 200",https://db.innovatingknowledge.nl/#detail/M0510
cla,967a,https://db.innovatingknowledge.nl/#detail/M0511
bkat,28,https://db.innovatingknowledge.nl/#detail/M0515
